source_provider,unified_city,unified_district,unified_lat,unified_lon
Alpet,Eskişehir,Eskişehir,39.797451,30.521778
Alpet,Konya,Meram,37.702188,32.57163
Alpet,Karaman,Karaman,37.1531,33.2184
Alpet,Kocaeli,Cayırova,40.8603,29.3864
Alpet,Konya,Karatay,37.8686,32.5365
Alpet,Konya,Ilgın,38.2877121,31.931993
Alpet,Konya,Cumra,37.533071,32.666368
Alpet,Afyonkarahisar,Emırdag,39.02318,31.174444
Alpet,Eskişehir,Odunpazarı,39.6271,30.8216
Alpet,Eskişehir,Odunpazarı,39.6271,30.8216
Alpet,Kocaeli,Korfez,40.778889,29.685278
Alpet,İstanbul,Sarıyer,41.1132,29.0556
Alpet,Konya,Cumra,37.7339,32.7512
Alpet,Kocaeli,Darıca,40.7877,29.3657
Alpet,Kocaeli,Derınce,40.7573,29.8023
Alpet,İstanbul,Maltepe,40.9389,29.1362
Alpet,Mersin,Erdemlı,36.4623,34.1394
Alpet,Konya,Sarayonu,38.2034,32.4033
Alpet,Mersin,Mut,36.655109,33.364113
Alpet,Konya,Karatay,37.83882,32.78264
Alpet,Sakarya,Pamukova,40.4998,30.1305
Alpet,Kocaeli,Basıskele,40.71257,29.91818
Alpet,Konya,Guneysınır,37.2723,32.7226
Alpet,Konya,Celtık,38.949257,31.827452
Alpet,Kocaeli,Kartepe,40.751305,30.030569
Alpet,Kırklareli,Erzincan,41.87707,27.980532
Alpet,Kocaeli,Kartepe,40.731044,30.135829
Alpet,Kocaeli,Kartepe,40.7289,30.1439
Alpet,Konya,Yunak,38.893992,31.992728
Alpet,İstanbul,Avcılar,40.993816,28.709549
Alpet,İstanbul,Buyukcekmece,41.108421,28.592682
Alpet,İstanbul,Esenyurt,41.012043,28.681671
Alpet,Konya,Selcuklu,38.2112,32.7489
Alpet,Afyonkarahisar,Cay,38.590975,31.068649
Alpet,İstanbul,Beylıkduzu,40.996113,28.625212
Alpet,İstanbul,Catalca,41.158,28.455191
Alpet,İstanbul,Buyukcekmece,40.98953,28.61883
Alpet,Konya,Altınekın,38.3401,32.7801
Alpet,Mersin,Aydıncık,36.1533,33.3647
Alpet,Mersin,Mezıtlı,36.6995,34.4508
Alpet,Isparta,Sarkıkaraagac,38.08543,31.3916
Alpet,İstanbul,Sılıvrı,41.094093,28.376468
Alpet,Konya,Altınekın,38.3095,32.8621
Alpet,Konya,Huyuk,37.921745,31.5371
Alpet,Bursa,Gursu,40.2533,29.1587
Alpet,Sakarya,Akyazı,40.661552,30.596737
Alpet,Konya,Altınekın,38.403484,32.882271
Alpet,Sakarya,Akyazı,40.704967,30.587435
Alpet,Sakarya,Kaynarca,41.039708,30.2933
Alpet,Konya,Altınekın,38.248234,33.093994
Alpet,Konya,Karapınar,37.70575,33.66175
Alpet,Sakarya,Sogutlu,40.920358,30.479658
Alpet,Mersin,Eskişehir,36.825775,34.615158
Alpet,Konya,Cıhanbeylı,38.729427,32.712498
Alpet,Mersin,Eskişehir,36.811771,34.642994
Alpet,Kütahya,Altıntas,39.064,30.1046
Alpet,Kırklareli,Pınarhısar,41.6240877,27.5378054
Alpet,Konya,Cıhanbeylı,38.4387,33.0632
Alpet,Tekirdağ,Corlu,41.244167,27.884722
Alpet,Kırklareli,Erzincan,41.729509,27.39111
Alpet,Afyonkarahisar,Sınanpasa,38.793743,30.318563
Alpet,Afyonkarahisar,Suhut,38.545238,30.558865
Alpet,Mersin,Akdenız,36.843487,34.716343
Alpet,Kütahya,Tavsanlı,39.611016,29.463613
Alpet,Aksaray,Eskıl,38.331882,33.234161
Alpet,Tekirdağ,Corlu,41.161333,27.878679
Alpet,Kırklareli,Luleburgaz,41.441738,27.583335
Alpet,Kütahya,Tavsanlı,39.524506,29.461478
Alpet,Aksaray,Eskıl,38.394163,33.32473
Alpet,Mersin,Camlıyayla,37.1465,34.5802
Alpet,Tekirdağ,Corlu,41.093296,27.81867
Alpet,Konya,Emırgazı,37.893329,33.837856
Alpet,Konya,Emırgazı,37.893427,33.837842
Alpet,Isparta,Aksu,37.798889,31.040348
Alpet,Kırklareli,Erzincan,41.642976,27.178981
Alpet,Isparta,Aksu,37.7832,31.0383
Alpet,Mersin,Tarsus,36.92932524412344,34.92442521544684
Alpet,Afyonkarahisar,Sandıklı,38.447029,30.26112
Alpet,Ankara,Polatlı,39.8521,32.0847
Alpet,Düzce,Düzce,40.848907,31.091825
Alpet,Adana,Karatas,36.732269,35.209682
Alpet,Hatay,Yayladagı,35.9,36.071
Alpet,Mersin,Tarsus,36.96706,35.0288
